c1ccc(Oc2ncccc2C2CCNCC2)cc1;1385;CHEMBL214_Ki: 101.0 nM
Cc1ccccc1Oc1ncccc1C1CCNCC1;1389;CHEMBL214_Ki: 60.0 nM
c1ccc(Oc2ccccc2C2CCNCC2)cc1;1310;CHEMBL214_Ki: 63.0 nM
Clc1cccc(Oc2ccccc2C2CCNCC2)c1;1299;CHEMBL214_Ki: 5.0 nM
Fc1cccc(Oc2cccc(F)c2C2CCNCC2)c1;1305;CHEMBL214_Ki: 21.0 nM
Fc1cccc(Oc2ccccc2)c1C1CCNCC1;1316;CHEMBL214_Ki: 128.0 nM
COc1cccc2c1N=C(N)NC2C;1034;CHEMBL214_Ki: 32.0 nM
Clc1ccccc1Oc1ncccc1C1CCNCC1;1387;CHEMBL214_Ki: 16.0 nM
CC(C)Oc1cccc2c1N=C(N)NC2C;1033;CHEMBL214_Ki: 265.0 nM
Fc1cccc(OCc2ccccc2)c1C1CCNCC1;1320;CHEMBL214_Ki: 364.0 nM
c1ccc(COc2ccccc2C2CCNCC2)cc1;1315;CHEMBL214_Ki: 121.0 nM
Fc1cccc(C2CCNCC2)c1Oc1ccccc1;1304;CHEMBL214_Ki: 20.0 nM
Brc1ccccc1OCC1=NCCN1;2016;CHEMBL214_Ki: 562.34 nM
c1ccc(C2CC2)c(OCC2=NCCN2)c1;2018;CHEMBL214_Ki: 34.67 nM
Fc1ccccc1COc1ccccc1C1CCNCC1;1308;CHEMBL214_Ki: 47.0 nM
CNC1=Nc2c(OC(C)C)cccc2C(C)N1;1032;CHEMBL214_Ki: 669.0 nM
COc1cccc2c1N=C(NCC(F)F)NC2C;1042;CHEMBL214_Ki: 53.0 nM
